	RA	DEC	BMag	e_BMag	VMag	e_VMag	Rc	e_Rc
0	0:30:25.656	78:45:18.119	13.63	0.17	11.71	0.06	10.74	0.15
1	0:25:42.589	78:44:33.436	13.73	0.15	12.3	0.05	11.55	0.12
2	0:23:39.389	78:46:55.326	12.84	0.42	12.14	0.36	11.72	0.55
3	0:27:1.938	78:47:5.212	13.31	0.14	11.99	0.05	11.31	0.12
4	0:28:58.742	78:47:55.597	13.61	0.16	12.08	0.05	11.28	0.13
5	0:28:22.105	78:48:11.434	10.92	0.2	10.43	0.06	10.10	0.14
6	0:26:11.727	78:50:23.521	12.2	0.14	11.29	0.05	10.77	0.12
7	0:24:45.491	78:53:35.117	11.49	0.12	10.25	0.05	9.67	0.10
8	0:23:20.030	78:49:20.363	12.6	0.17	12.22	0.07	11.99	0.14
9	0:23:28.590	78:52:43.464	13.95	0.17	13.27	0.07	12.87	0.14
10	0:23:50.929	78:59:44.225	12.41	0.17	11.82	0.07	11.48	0.14
11	0:23:53.442	79:0:13.817	13.16	0.19	11.98	0.07	11.35	0.14
12	0:33:21.074	78:45:51.840	13.48	0.17	12.64	0.06	12.14	0.15
13	0:32:40.881	78:52:1.096	12.93	0.21	11.67	0.05	11.00	0.15
14	0:31:39.065	78:47:35.974	12.66	0.19	11.96	0.05	11.56	0.15
15	0:31:11.254	78:51:39.211	13.04	0.18	12.22	0.05	11.77	0.14
16	0:29:54.556	78:49:33.391	13.84	0.19	13.06	0.05	12.61	0.14
17	0:30:59.800	78:53:15.374	13.05	0.18	11.74	0.05	11.06	0.14
18	0:29:50.210	78:57:0.299	13.79	0.17	12.3	0.05	11.53	0.13
19	0:33:27.811	78:58:16.219	13.31	0.23	12.42	0.05	11.90	0.17
20	0:31:8.599	79:1:26.350	13.65	0.18	12.86	0.05	12.41	0.14
21	0:30:9.206	79:1:24.316	12.32	0.17	11.47	0.05	11.01	0.14
22	0:32:46.428	79:4:44.263	12.07	0.21	10.1	0.05	9.08	0.12
23	0:32:1.973	79:6:14.044	13.09	0.22	11.07	0.08	10.07	0.17
24	0:29:21.428	78:55:40.534	13.31	0.18	12.69	0.05	12.33	0.14
25	0:28:27.940	78:57:42.599	11.23	0.24	10.55	0.14	10.13	0.27
26	0:29:47.762	78:58:7.597	12.26	0.18	11.68	0.05	11.35	0.14
27	0:27:18.080	79:0:35.489	12.67	0.15	11.89	0.05	11.44	0.12
28	0:25:39.181	78:58:22.750	13.55	0.13	11.69	0.06	10.72	0.11
29	0:25:4.725	79:2:27.398	11.38	0.12	10.68	0.05	10.28	0.11
30	0:24:21.192	79:7:42.542	13.95	0.18	13.34	0.07	12.99	0.14
31	0:24:23.218	79:9:27.878	10.49	0.12	10.11	0.06	9.85	0.11
32	0:30:5.081	79:3:38.592	13.93	0.18	13.32	0.04	12.98	0.13
33	0:28:40.930	79:9:36.925	12.05	0.15	11.14	0.05	10.64	0.12
34	0:28:18.614	79:11:25.260	12.44	0.15	11.85	0.05	11.49	0.12
35	0:33:26.012	79:12:13.529	12.21	0.22	11.57	0.05	11.21	0.17
36	0:33:29.624	79:11:1.889	12.94	0.2	12.25	0.05	11.83	0.17
