Minimums	Eclipse_#	O-C	O-C_Error
2457143.76182	0.0	0.00000	0.00014
2457143.91854	0.5	-0.00008	0.00028
2457161.75726	57.5	-0.00088	0.00022
2457161.91375	58.0	-0.00088	0.00019
2458842.68058	5428.5	-0.03889	0.00051
2458842.83709	5429.0	-0.03885	0.00083
2458842.99348	5429.5	-0.03895	0.00050
2458843.14992	5430.0	-0.03900	0.00096
2458843.30633	5430.5	-0.03907	0.00046
2458843.46320	5431.0	-0.03869	0.00093
2458843.61904	5431.5	-0.03933	0.00067
2458843.77574	5432.0	-0.03912	0.00044
2458843.93212	5432.5	-0.03922	0.00060
2458844.08962	5433.0	-0.03821	0.00110
2458844.24512	5433.5	-0.03920	0.00064
2458844.40252	5434.0	-0.03828	0.00079
2458844.55857	5434.5	-0.03871	0.00052
2458844.71470	5435.0	-0.03907	0.00072
2458844.87090	5435.5	-0.03936	0.00077
2458845.02843	5436.0	-0.03831	0.00074
2458845.18400	5436.5	-0.03922	0.00055
2458845.34189	5437.0	-0.03782	0.00071
2458845.49745	5437.5	-0.03874	0.00065
2458845.65474	5438.0	-0.03794	0.00064
2458845.81146	5438.5	-0.03770	0.00051
2458845.96730	5439.0	-0.03835	0.00074
2458846.12302	5439.5	-0.03911	0.00097
2458846.28060	5440.0	-0.03802	0.00039
2458846.43714	5440.5	-0.03796	0.00061
2458846.59354	5441.0	-0.03805	0.00071
2458846.74912	5441.5	-0.03896	0.00065
2458846.90618	5442.0	-0.03838	0.00066
2458847.06297	5442.5	-0.03807	0.00054
2458847.21920	5443.0	-0.03833	0.00058
2458847.37507	5443.5	-0.03895	0.00073
2458847.53215	5444.0	-0.03835	0.00042
2458847.68762	5444.5	-0.03936	0.00150
2458847.84487	5445.0	-0.03860	0.00040
2458848.00053	5445.5	-0.03943	0.00169
2458848.15777	5446.0	-0.03867	0.00038
2458848.31416	5446.5	-0.03876	0.00153
2458848.47073	5447.0	-0.03868	0.00046
2458848.62714	5447.5	-0.03875	0.00124
2458848.78358	5448.0	-0.03880	0.00052
2458848.94036	5448.5	-0.03850	0.00127
2458849.09639	5449.0	-0.03896	0.00056
2458849.25212	5449.5	-0.03972	0.00195
2458849.40926	5450.0	-0.03906	0.00038
2458849.56500	5450.5	-0.03980	0.00070
2458849.72225	5451.0	-0.03904	0.00045
