Camera	CCD	Slice	videoScale	gainLossPerElectron	gainGainPerElectron	Undershoot
1	1	A	5.22	5.91E-07	6.96E-07	0.00216
1	1	B	5.22	6.17E-07	7.22E-07	0.00211
1	1	C	5.21	5.72E-07	6.65E-07	0.00179
1	1	D	5.26	5.85E-07	6.99E-07	0.00138
1	2	A	5.27	6.63E-07	7.69E-07	0.00159
1	2	B	5.14	6.36E-07	7.32E-07	0.00168
1	2	C	5.11	6.07E-07	7.06E-07	0.00177
1	2	D	5.19	6.19E-07	7.31E-07	0.00198
1	3	A	5.32	6.41E-07	7.69E-07	0.00283
1	3	B	5.24	6.12E-07	7.22E-07	0.00191
1	3	C	5.19	6.11E-07	7.35E-07	0.00331
1	3	D	5.24	6.36E-07	7.75E-07	0.00191
1	4	A	5.35	5.49E-07	6.62E-07	0.00193
1	4	B	5.22	5.82E-07	7.06E-07	0.00186
1	4	C	5.23	5.90E-07	7.23E-07	0.00184
1	4	D	5.18	5.97E-07	7.25E-07	0.00177
2	1	A	5.3	6.21E-07	7.74E-07	0.00193
2	1	B	5.23	5.82E-07	7.01E-07	0.002
2	1	C	5.23	5.57E-07	6.80E-07	0.00201
2	1	D	5.24	6.21E-07	7.60E-07	0.00167
2	2	A	5.23	6.41E-07	7.27E-07	0.00174
2	2	B	5.28	6.30E-07	7.32E-07	0.00198
2	2	C	5.32	6.34E-07	7.47E-07	0.00186
2	2	D	5.23	6.44E-07	7.73E-07	0.00187
2	3	A	5.27	5.95E-07	7.27E-07	0.00231
2	3	B	5.26	5.85E-07	7.06E-07	0.00184
2	3	C	5.25	6.02E-07	7.35E-07	0.00188
2	3	D	5.2	6.15E-07	7.51E-07	0.00193
2	4	A	5.32	5.72E-07	7.14E-07	0.00332
2	4	B	5.19	5.85E-07	7.19E-07	0.00179
2	4	C	5.29	5.96E-07	7.44E-07	0.00186
2	4	D	5.23	6.05E-07	7.58E-07	0.00191
3	1	A	5.25	5.16E-07	6.24E-07	0.00178
3	1	B	5.24	6.17E-07	7.56E-07	0.00169
3	1	C	5.23	5.28E-07	6.46E-07	0.0019
3	1	D	5.23	5.64E-07	6.85E-07	0.00195
3	2	A	5.37	5.57E-07	6.51E-07	0.00192
3	2	B	5.26	5.18E-07	5.81E-07	0.00159
3	2	C	5.36	5.98E-07	7.08E-07	0.002
3	2	D	5.3	6.42E-07	7.86E-07	0.00198
3	3	A	5.26	5.89E-07	6.94E-07	0.00198
3	3	B	5.16	5.86E-07	6.79E-07	0.00215
3	3	C	5.22	5.72E-07	6.68E-07	0.00199
3	3	D	5.25	5.96E-07	7.10E-07	0.00225
3	4	A	5.16	6.03E-07	7.16E-07	0.00193
3	4	B	5.15	5.09E-07	5.87E-07	0.00174
3	4	C	5.15	5.65E-07	6.81E-07	0.00169
3	4	D	5.17	6.36E-07	7.84E-07	0.00198
4	1	A	5.25	6.29E-07	7.71E-07	0.00204
4	1	B	5.18	5.87E-07	6.86E-07	0.00228
4	1	C	5.19	6.31E-07	7.75E-07	0.0021
4	1	D	5.2	6.36E-07	7.66E-07	0.00207
4	2	A	5.25	5.97E-07	7.24E-07	0.00214
4	2	B	5.18	5.20E-07	6.02E-07	0.00137
4	2	C	5.12	5.86E-07	7.04E-07	0.00112
4	2	D	5.21	5.17E-07	6.09E-07	0.00176
4	3	A	5.29	5.71E-07	7.11E-07	0.00206
4	3	B	5.19	6.10E-07	7.58E-07	0.00247
4	3	C	5.27	5.94E-07	7.38E-07	0.00221
4	3	D	5.19	6.21E-07	7.78E-07	0.00196
4	4	A	5.24	5.78E-07	6.90E-07	0.00162
4	4	B	5.12	6.02E-07	7.27E-07	0.00337
4	4	C	5.16	5.97E-07	7.16E-07	0.00187
4	4	D	5.16	6.28E-07	7.75E-07	0.00192
